Character,Alternate Names,Role,Faction,Friends,enimies
Yuyutsu,,,,"Yudhistra,Arjuna,Bhima,Nakula,Sahadeva",
Suryavarman,,A King,Human,"Ketuvarman,Dhrtavarman",Arjuna
Ketuvarman,,Suryavarman's Brother,Human,Dhrtavarman,Arjuna
Dhrtavarman,,A Warrior,Human,,Arjuna
Vajradatta,,A King,Human,,Arjuna
Duhsala,,,,Arjuna,
Babhruvahana,,,,"Arjuna,Citran",
Ulupi,,,,"Babhruvahana,Arjuna,Citran",
Citran,,,,,
Meghasamdhi,,A King,Human,,Arjuna
Sarabha,,A King,Human,Arjuna,
Ugrasena,,,,"Arjuna,Vasudeva",
Balarama,,,,"Yudhistra,Krsna",
Pradyumna,,,,"Yudhistra,Krsna",
Krtavarman,,,,"Yudhistra,Krsna",
Samba,,,,"Yudhistra,Krsna",
Draupadi,,,,"Yudhistra,Arjuna,Bhima,Nakula,Sahadeva,Krsna,Babhruvahana,Ulupi,Citran",
Tumburu,,Vyasa's Disciple,Human,"Vyasa,Yudhistra",
Visvavasu,,,,Yudhistra,
Citrasena,,,,Yudhistra,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Dhrtarastra,Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Dhrtarastra,Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Arjuna,,,,"Nakula,Sahadeva,Dhrtarastra,Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Nakula,,,,"Sahadeva,Dhrtarastra,Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Sahadeva,,,,"Dhrtarastra,Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Dhrtarastra,,,,"Gandhari,Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Gandhari,,,,"Vidura,Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Vidura,,,,"Samjaya,Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Samjaya,,,,"Krpa,Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Krpa,,,,"Vyasa,Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Vyasa,,,,"Yuyutsu,Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Yuyutsu,,,,"Kunti,Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Kunti,,,,"Draupadi,Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Draupadi,,,,"Dhaumya,Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Dhaumya,,,,"Subhadra,Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Subhadra,,,,"Uttara,Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Uttara,,,,"Citrangada,Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Citrangada,,,,"Bhisma,Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Satayupa,,An Ascetic,Human,"Dhrtarastra,Gandhari,Kunti",
Narada,,,,Dhrtarastra,
Pariksit,,Uttara's Son,Human,"Uttara,Yudhistra,Arjuna,Bhima,Nakula,Sahadeva",
Bhisma,,,,"Drona,Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Drona,,,,"Virata,Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Virata,,,,"Drupada,Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Drupada,,,,"Abhimanyu,Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Abhimanyu,,,,"Ghatotkaca,Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Ghatotkaca,,,,"Duryodhana,Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Duryodhana,,,,"Karna,Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Karna,,,,"Sakuni,Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Sakuni,,,,"Duhsasana,Bhagadatta,Sala,Salya,Alayudha",
Duhsasana,,,,"Bhagadatta,Sala,Salya,Alayudha",
Bhagadatta,,,,"Sala,Salya,Alayudha",
Sala,,,,"Salya,Alayudha",
Salya,,,,Alayudha,
Alayudha,,,,,
Janamejaya,,,,"Vaisampayana,Pariksit",
Vaisampayana,,,,,
Astika,,,,Janamejaya,
Janamejaya,,,,Vaisampayana,
Visvamitra,,,,"Kanva,Narada,Sarana,Samba",
Kanva,,,,"Narada,Sarana,Samba",
Narada,,,,"Sarana,Samba",
Sarana,,,,Samba,
Samba,,,,,
Krsna,,,,"Balarama,Uddhava,Krtavarman,Satyaki,Gada,Babhru,Pradyumna,Daruka",
Balarama,,,,"Uddhava,Krtavarman,Satyaki,Gada,Babhru,Pradyumna",
Uddhava,,Krsna's Friend,Human,,
Krtavarman,,,,,
Satyaki,,,,,Krtavarman
Gada,,,,"Krtavarman,Satyaki",
Babhru,,,,"Krtavarman,Satyaki,Gada",
Pradyumna,,,,"Krtavarman,Satyaki,Gada,Babhru",
Daruka,,,,,
Vasudeva,,,,Krsna,
Varuna,,,,Balarama,
Jara,,A Hunter,Human,Krsna,
Indra,,,,Krsna,
The Asvins,,,,Krsna,
Yudhistra,,,,"Arjuna,Bhima,Nakula,Sahadeva,Daruka",
Arjuna,,,,"Bhima,Nakula,Sahadeva,Daruka,Vasudeva",
Bhima,,,,"Nakula,Sahadeva,Daruka",
Nakula,,,,"Sahadeva,Daruka",
Sahadeva,,,,Daruka,
Vajra,,Krsna's Grandson,Human,Arjuna,
Devaki,,,,"Bhadra,Rohini,Madira,Balarama,Krsna,Vasudeva",
Bhadra,,,Human,"Rohini,Madira,Balarama,Krsna,Vasudeva",
Rohini,,Mother of Balarama,Human,"Madira,Balarama,Krsna,Vasudeva",
Madira,,,Human,"Balarama,Krsna,Vasudeva",
Vyasa,,,,Arjuna,
Janamejaya,,,,Vaisampayana,
Yudhistra,,,,"Arjuna,Bhima,Nakula,Sahadeva",
Arjuna,,,,"Bhima,Nakula,Sahadeva",
Bhima,,,,"Nakula,Sahadeva",
Nakula,,,,Sahadeva,
Sahadeva,,,,,
Yuyutsu,,,,Yudhistra,
Pariksit,,,,Yudhistra,
Subhadra,,,,Yudhistra,
Draupadi,,,,"Yudhistra,Arjuna,Bhima,Nakula,Sahadeva",
Krpa,,,,"Yuyutsu,Citrangada,Ulupi",
Citrangada,,,,"Yuyutsu,Ulupi",
Ulupi,,,,Yuyutsu,
Agni,,,,"Yudhistra,Arjuna,Bhima,Nakula,Sahadeva",
Indra,,,,Yudhistra,
Dharma,,,,Yudhistra,
The Asvins,,,,Yudhistra,
Janamejaya,,,,Vaisampayana,
Yudhistra,,,,Duryodhana,
Duryodhana,,,,,
Narada,,,,Yudhistra,
Dharma,,,,Yudhistra,
Indra,,,,Yudhistra,
Pandu,,,,"Kunti,Madri",
Kunti,,,,Madri,
Madri,,,,,
Brhaspati,,,,Drona,
Drona,,,,,
Ugrasravas the Suta,,,,Vyasa,
Vyasa,,,,,
Brahma,,,,,
Sanatkumara,,,,Pradyumna,
Pradyumna,,,,,
Dhrtarastra,,,,Kubera,
Kubera,,,,,
Karna,,,,Surya,
Surya,,,,,
Vidura,,,,Dharma,
Sesa,,,,Brahma,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
